SiteName,SiteAb,Rodne_PID,PCID,Insol,SolarIns,elevation_m,PVT,TPI,AET_1900_09,AET_2000_09,AET_2000_09SD,CWD_1900_09,CWD_2000_09,CWD_2000_09SD,POINT_X,POINT_Y,WatBal_AET_Current_V1_2019,WB_AET_Current_V2_2022,WatBal_AET_Futr_V1_2019,WB_AET_Future_V2_2022,WatBal_PET_Current_V1_2019,WB_PET_Current_V2_2022,WatBal_PET_Futr_V1_2019,WB_PET_Future_V2_2022,WatBal_Deficit_Current_V1_OR_2019,WB_Deficit_Current_V2_2022_2023,WatBal_Deficit_Futr_V1_OR_2019,WB_Deficit_Future_V2_2022
Evans Creek,EV,V10,MC10,Warm,1338952.5,900,Douglas-fir - Dry,Mid Slope,497,464.7000122,66.8970108,544.2600098,627,71.17953491,-122.9747161,42.6436099,411.0799866,528.2408447,417.0774536,520.9237671,762.6459351,675.4818115,837.3970947,728.8553467,351.565918,147.2409363,420.3196411,207.9315948
Evans Creek,EV,VA,MEV,Warm,1266381.625,950,White fir - Intermediate,Ridge Top,497,464.7000122,66.8970108,544.2600098,627,71.17953491,-122.9734271,42.64630322,409.9215393,529.6010132,421.269043,520.2682495,756.4700317,692.4706421,831.9730225,748.0019531,346.5484924,162.8696289,410.703949,227.7336884
Evans Creek,EV,V04,MC04,Cool,914412.1875,887,White fir - Intermediate,Mid Slope,497,464.7000122,66.8970108,544.2600098,627,71.17953491,-122.9732342,42.64865244,387.007019,516.9327393,398.3909607,506.3118286,684.5696411,661.4052124,749.53125,711.7702637,297.5626221,144.4724731,351.1402588,205.4584656
Evans Creek,EV,V08,MC08,Warm,1407036.25,949,White fir - Intermediate,Mid Slope,497,464.7000122,66.8970108,544.2600098,627,71.17953491,-122.9747483,42.64524517,417.3986816,537.9246826,422.8115234,530.6445313,772.3369141,703.7320557,846.3950195,761.8196411,354.9382324,165.807373,423.5834656,231.1750641
Grayback,GB,G01,GB01,Warm,1374851.125,784,,Mid Slope,575.4000244,557.2000122,84.46750641,630.3300171,717,95.64592743,-123.4509953,42.14706975,480.2882385,567.8239746,473.8320923,570.9308472,801.9207153,775.6777344,858.1868896,839.9691772,321.6325073,207.8537598,384.3548279,269.0383606
Grayback,GB,G02,GB02,Warm,1365469.25,738,,Mid Slope,575.4000244,557.2000122,84.46750641,630.3300171,717,95.64592743,-123.4525565,42.14537871,484.0918884,567.7767944,472.5822754,570.1364136,807.6486816,783.1905518,857.6621094,847.1220093,323.5567932,215.4137726,385.0798645,276.9855652
Grayback,GB,G03,GB03,Warm,1368490.75,675,,Ridge Top,559.0999756,544.0999756,79.72885132,638.7800293,725,96.72249603,-123.4576523,42.14300904,468.5430908,568.4976196,457.5201111,567.4347534,799.2854004,803.446167,849.1655273,866.4261475,330.7422791,234.9485626,391.6454468,298.991394
Grayback,GB,G04,GB04,Warm,1377836.875,768,,Mid Slope,575.4000244,557.2000122,84.46750641,630.3300171,717,95.64592743,-123.451936,42.14631206,482.0560303,566.5200806,471.4074402,569.2766113,806.6259155,776.0455322,858.6453247,839.9439697,324.5698853,209.5254974,387.2378845,270.6673584
Grayback,GB,G05,GB05,Warm,1351937.625,627,,Mid Slope,559.0999756,544.0999756,79.72885132,638.7800293,725,96.72249603,-123.4579235,42.14233143,467.5387268,567.4713745,456.6669006,566.3829956,796.9871216,803.7055664,846.7183838,865.8041382,329.4483948,236.2341766,390.0515137,299.4210815
Grayback,GB,G06,GB06,Warm,1365462,672,,Ridge Top,559.0999756,544.0999756,79.72885132,638.7800293,725,96.72249603,-123.4562607,42.14282832,475.2095642,552.6054688,464.2315063,554.4881592,803.7354736,757.6785278,853.68396,818.7080688,328.5259094,205.0730591,389.4524536,264.2199097
Grayback,GB,G07,GB07,Warm,1382572.375,714,,Ridge Top,559.0999756,544.0999756,79.72885132,638.7800293,725,96.72249603,-123.455985,42.14360148,457.160614,557.6697998,454.753479,559.0415649,792.0249634,771.7915039,851.2781982,834.427002,334.8643799,214.1216583,396.5247192,275.385376
Grayback,GB,G08,GB08,Warm,1365764.25,740,,Mid Slope,575.4000244,557.2000122,84.46750641,630.3300171,717,95.64592743,-123.4507507,42.14582588,486.9793396,562.0274658,475.7000732,565.2709351,807.4484253,765.5350342,857.3284302,828.7855225,320.4691162,203.5075836,381.6283569,263.5145874
